money,percentage
"Less than $10,000",0.0580
"$10,000 to $14,999",0.0430
"$15,000 to $24,999",0.0680
"$25,000 to $34,999",0.1600
"$35,000 to $49,999",0.2370
"$50,000 to $74,999",0.2450
"$75,000 to $99,999",0.0830
"$100,000 to $149,999",0.0510
"$150,000 to $199,999",0.0230
"$200,000 or more",0.0300
