money,percentage
"Less than $10,000",0.0230
"$10,000 to $14,999",0.0080
"$15,000 to $24,999",0.0520
"$25,000 to $34,999",0.0770
"$35,000 to $49,999",0.1200
"$50,000 to $74,999",0.1840
"$75,000 to $99,999",0.1640
"$100,000 to $149,999",0.2320
"$150,000 to $199,999",0.0700
"$200,000 or more",0.0710
