money,percentage
"Less than $10,000",0.0850
"$10,000 to $14,999",0.0280
"$15,000 to $24,999",0.0750
"$25,000 to $34,999",0.1760
"$35,000 to $49,999",0.2520
"$50,000 to $74,999",0.2010
"$75,000 to $99,999",0.0730
"$100,000 to $149,999",0.0920
"$150,000 to $199,999",0.0090
"$200,000 or more",0.0080
