money,percentage
"Less than $10,000",0.0220
"$10,000 to $14,999",0.0100
"$15,000 to $24,999",0.0430
"$25,000 to $34,999",0.0760
"$35,000 to $49,999",0.1460
"$50,000 to $74,999",0.2110
"$75,000 to $99,999",0.1810
"$100,000 to $149,999",0.1860
"$150,000 to $199,999",0.0660
"$200,000 or more",0.0590
